experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
rank_sweep,css,1,1720713488,14,4,10,5,5,base,,sat,False,300.0,0.029313958,0.005220833,51,10,748,156888415,364,50
rank_sweep,css,2,1717844142,14,4,10,5,5,base,,sat,False,300.0,0.028668625,0.006142500,297,144,8282,157050364,364,50
rank_sweep,css,3,1326030818,14,4,10,5,5,base,,sat,False,300.0,0.028887958,0.005330458,61,32,1393,157203685,364,50
rank_sweep,css,4,1701365734,14,4,10,5,5,base,,sat,False,300.0,0.029424459,0.006057166,205,87,5897,157357192,364,50
rank_sweep,css,5,1617391961,14,4,10,5,5,base,,sat,False,300.0,0.028097375,0.005362709,22,5,442,157516920,364,50
rank_sweep,css,6,768362021,14,4,10,5,5,base,,sat,False,300.0,0.028646458,0.005991500,347,93,5094,157684555,364,50
rank_sweep,css,7,2112458085,14,4,10,5,5,base,,sat,False,300.0,0.029730791,0.006110458,265,95,5857,157846352,364,50
rank_sweep,css,8,1493743098,14,4,10,5,5,base,,sat,False,300.0,0.028883958,0.005989583,298,136,6608,158017438,364,50
rank_sweep,css,9,592601534,14,4,10,5,5,base,,sat,False,300.0,0.028552417,0.005665167,159,81,3907,158169062,364,50
rank_sweep,css,0,201101383,14,4,10,8,2,base,,sat,False,300.0,0.030031458,0.006762667,417,185,12617,158341526,364,68
rank_sweep,css,1,59379640,14,4,10,8,2,base,,sat,False,300.0,0.030254750,0.007520625,687,322,18713,158502329,364,68
rank_sweep,css,2,1104906118,14,4,10,8,2,base,,sat,False,300.0,0.040687625,0.005423916,104,32,3632,158637106,364,68
rank_sweep,css,3,652416270,14,4,10,8,2,base,,sat,False,300.0,0.029281708,0.005391333,154,71,5708,158768205,364,68
rank_sweep,css,4,1736444997,14,4,10,8,2,base,,sat,False,300.0,0.029613500,0.007680791,514,237,18701,158928574,364,68
rank_sweep,css,5,1430674966,14,4,10,8,2,base,,sat,False,300.0,0.029579833,0.005678708,424,207,9508,159064394,364,68
rank_sweep,css,6,658155939,14,4,10,8,2,base,,sat,False,300.0,0.029375791,0.004923000,114,52,2445,159189935,364,68
rank_sweep,css,7,731840751,14,4,10,8,2,base,,sat,False,300.0,0.029339833,0.006977708,552,327,20120,159340563,364,68
rank_sweep,css,8,88457226,14,4,10,8,2,base,,sat,False,300.0,0.029249666,0.012360208,1074,672,56291,159548440,364,68
rank_sweep,css,9,883266900,14,4,10,8,2,base,,sat,False,300.0,0.028695875,0.006354291,299,160,10851,159690423,364,68
rank_sweep,css,0,1142273759,14,4,10,9,1,base,,sat,False,300.0,0.030443083,0.031669917,4001,2725,204704,160094056,364,82
rank_sweep,css,1,1939429038,14,4,10,9,1,base,,sat,False,300.0,0.029727500,0.014918625,2349,1325,66870,160313840,364,82
rank_sweep,css,2,1503554334,14,4,10,9,1,base,,sat,False,300.0,0.030600166,0.041213917,5085,3361,252769,160784879,364,82
rank_sweep,css,3,2081658811,14,4,10,9,1,base,,sat,False,300.0,0.029946500,0.063118375,7452,5117,397976,161429046,364,82
rank_sweep,css,4,207538373,14,4,10,9,1,base,,sat,False,300.0,0.029867709,0.164927208,17165,12235,1211743,163133890,364,82
rank_sweep,css,5,253026472,14,4,10,9,1,base,,sat,False,300.0,0.030949875,0.025474084,3973,2578,154102,163468061,364,82
rank_sweep,css,6,62851141,14,4,10,9,1,base,,sat,False,300.0,0.029991875,0.132498208,12916,9724,868005,164678876,364,82
rank_sweep,css,7,1891885888,14,4,10,9,1,base,,sat,False,300.0,0.030190709,0.026148917,3559,2282,158845,165013655,364,82
rank_sweep,css,8,1128313373,14,4,10,9,1,base,,sat,False,300.0,0.030727750,0.035516958,4984,3119,190188,165418388,364,82
rank_sweep,css,9,72636427,14,4,10,9,1,base,,sat,False,300.0,0.030704042,0.017311458,2298,1398,94718,165668247,364,82
rank_sweep,css,0,1664934991,14,4,10,10,0,base,,sat,False,300.0,0.031208167,0.942190583,87336,55422,4687884,172547640,364,100
rank_sweep,css,1,877831317,14,4,10,10,0,base,,sat,False,300.0,0.032890666,5.535425083,431402,300047,29050593,209907316,364,100
rank_sweep,css,2,453168035,14,4,10,10,0,base,,sat,False,300.0,0.032215750,1.929134333,171971,117755,9436381,223739650,364,100
rank_sweep,css,3,622165371,14,4,10,10,0,base,,sat,False,300.0,0.033277375,0.644408083,72276,46366,3027983,228041859,364,100
rank_sweep,css,4,1126332313,14,4,10,10,0,base,,sat,False,300.0,0.036982166,0.896615417,102076,58883,4379506,234366900,364,100
rank_sweep,css,5,228445557,14,4,10,10,0,base,,sat,False,300.0,0.031780291,3.246210708,312907,206043,16207353,257784823,364,100
rank_sweep,css,6,343090532,14,4,10,10,0,base,,sat,False,300.0,0.031472000,7.595590167,682282,469177,36908059,306573262,364,100
rank_sweep,css,7,986641127,14,4,10,10,0,base,,sat,False,300.0,0.031748292,4.266249834,345007,243763,20031691,333284475,364,100
rank_sweep,css,8,1614514517,14,4,10,10,0,base,,sat,False,300.0,0.032463375,0.545714083,60169,34725,2801237,337459042,364,100
rank_sweep,css,9,1658653346,14,4,10,10,0,base,,sat,False,300.0,0.032496500,0.583253166,73527,39843,2391672,341273918,364,100
rank_sweep,general,0,1807686679,16,4,12,,,base,,sat,False,300.0,0.087712250,0.013570625,190,95,9008,341519563,672,144
rank_sweep,general,1,1546085332,16,4,12,,,base,,sat,False,300.0,0.088348416,0.016864625,647,219,21801,341755528,672,144
rank_sweep,general,2,1032120812,16,4,12,,,base,,sat,False,300.0,0.086959292,0.011737083,240,57,4681,341935412,672,144
rank_sweep,general,3,2075307226,16,4,12,,,base,,sat,False,300.0,0.089813666,0.017282791,654,211,18472,342197166,672,144
rank_sweep,general,4,793436691,16,4,12,,,base,,sat,False,300.0,0.096943041,0.016084375,672,306,40379,342435015,672,144
rank_sweep,general,5,779225346,16,4,12,,,base,,sat,False,300.0,0.087290084,0.020393041,1189,504,54122,342713316,672,144
rank_sweep,general,6,1016688605,16,4,12,,,base,,sat,False,300.0,0.087276750,0.014960833,730,225,18315,342933869,672,144
rank_sweep,general,7,1566034017,16,4,12,,,base,,sat,False,300.0,0.086499875,0.015033875,376,108,14755,343154960,672,144
rank_sweep,general,8,905619664,16,4,12,,,base,,sat,False,300.0,0.089068542,0.014995625,439,145,15776,343383535,672,144
rank_sweep,general,9,1437250305,16,4,12,,,base,,sat,False,300.0,0.088041875,0.018886625,1390,541,52428,343642809,672,144
rank_sweep,css,0,1059524960,16,4,12,0,12,base,,sat,False,300.0,0.048402667,19.074734625,1328902,936055,92428552,461635151,480,144
rank_sweep,css,1,1242246457,16,4,12,0,12,base,,sat,False,300.0,0.047444333,18.314464084,1144845,865924,100517260,580378919,480,144
rank_sweep,css,2,1412547464,16,4,12,0,12,base,,sat,False,300.0,0.048426583,26.776852000,1707481,1253939,135866681,745585593,480,144
rank_sweep,css,3,858712063,16,4,12,0,12,base,,sat,False,300.0,0.049230500,8.171122375,635914,441213,41878918,800158965,480,144
rank_sweep,css,4,155635839,16,4,12,0,12,base,,sat,False,300.0,0.048522000,201.401141541,10483100,8240145,998573356,1935648502,480,144
rank_sweep,css,5,308518277,16,4,12,0,12,base,,sat,False,300.0,0.047706167,6.232727166,572144,389101,30510086,1978335948,480,144
rank_sweep,css,6,110613046,16,4,12,0,12,base,,sat,False,300.0,0.046883167,43.792198917,1666096,1274752,147057644,2153421424,480,144
rank_sweep,css,7,124845067,16,4,12,0,12,base,,sat,False,300.0,0.094111875,41.574456416,1216391,974517,111525408,2283243330,480,144
rank_sweep,css,8,1203045756,16,4,12,0,12,base,,sat,False,300.0,0.089732666,36.529253000,1400316,948414,103413211,2411126897,480,144
rank_sweep,css,9,354260727,16,4,12,0,12,base,,sat,False,300.0,0.094218792,6.458820042,316139,185561,17054087,2434727485,480,144
rank_sweep,css,0,1544132086,16,4,12,1,11,base,,sat,False,300.0,0.112017792,0.783398667,34329,26164,2938251,2438598152,480,122
rank_sweep,css,1,402505490,16,4,12,1,11,base,,sat,False,300.0,0.087329083,0.891836416,35464,27295,3101935,2442624698,480,122
rank_sweep,css,2,553030419,16,4,12,1,11,base,,sat,False,300.0,0.086471084,0.852348417,40644,29468,2788315,2446355436,480,122
rank_sweep,css,3,2089982357,16,4,12,1,11,base,,sat,False,300.0,0.088257625,1.509325917,59577,45858,5300499,2453012241,480,122
rank_sweep,css,4,1669713543,16,4,12,1,11,base,,sat,False,300.0,0.096412375,0.065404833,5269,2812,187802,2453462739,480,122
rank_sweep,css,5,950657301,16,4,12,1,11,base,,sat,False,300.0,0.086985833,0.485135750,22932,17928,1830577,2455861897,480,122
rank_sweep,css,6,844378996,16,4,12,1,11,base,,sat,False,300.0,0.086858541,5.718530250,218338,180226,21234043,2480651220,480,122
rank_sweep,css,7,1371005196,16,4,12,1,11,base,,sat,False,300.0,0.088533541,1.344595083,47938,39995,5716338,2487587715,480,122
rank_sweep,css,8,995882239,16,4,12,1,11,base,,sat,False,300.0,0.093965208,0.166400500,10938,7286,548105,2488471652,480,122
rank_sweep,css,9,1673373079,16,4,12,1,11,base,,sat,False,300.0,0.087381583,1.924186583,70999,56652,7131936,2496938821,480,122
rank_sweep,css,0,95541434,16,4,12,2,10,base,,sat,False,300.0,0.085927667,0.224995000,11621,8098,654517,2497935510,480,104
rank_sweep,css,1,1201897401,16,4,12,2,10,base,,sat,False,300.0,0.085403083,0.022769000,1340,513,33052,2498179828,480,104
rank_sweep,css,2,1418872459,16,4,12,2,10,base,,sat,False,300.0,0.084136167,0.037864667,2058,1094,87810,2498488833,480,104
rank_sweep,css,3,308840529,16,4,12,2,10,base,,sat,False,300.0,0.083188125,0.020610500,700,368,30805,2498720466,480,104
rank_sweep,css,4,1886688085,16,4,12,2,10,base,,sat,False,300.0,0.083079167,0.026822583,1322,722,47609,2498952364,480,104
rank_sweep,css,5,1799597275,16,4,12,2,10,base,,sat,False,300.0,0.086440291,0.024921500,1219,540,39528,2499188984,480,104
rank_sweep,css,6,873661925,16,4,12,2,10,base,,sat,False,300.0,0.085421042,0.174402584,7155,5050,632357,2500177056,480,104
rank_sweep,css,7,807792523,16,4,12,2,10,base,,sat,False,300.0,0.085146917,0.055123833,3115,2001,150848,2500596560,480,104
rank_sweep,css,8,523392816,16,4,12,2,10,base,,sat,False,300.0,0.084870458,0.028574959,1264,651,52739,2500871501,480,104
rank_sweep,css,9,436290487,16,4,12,2,10,base,,sat,False,300.0,0.085217541,0.029730792,1679,862,62363,2501146866,480,104
rank_sweep,css,0,707960417,16,4,12,6,6,base,,sat,False,300.0,0.079163959,0.014938667,108,46,2414,2501326507,480,72
rank_sweep,css,1,1464622814,16,4,12,6,6,base,,sat,False,300.0,0.080012792,0.020876125,645,272,25060,2501600037,480,72
rank_sweep,css,2,18133989,16,4,12,6,6,base,,sat,False,300.0,0.082504625,0.018935208,752,274,17966,2501873104,480,72
rank_sweep,css,3,1763998649,16,4,12,6,6,base,,sat,False,300.0,0.080599375,0.040565958,3403,1243,84126,2502238082,480,72
rank_sweep,css,4,1766872960,16,4,12,6,6,base,,sat,False,300.0,0.082827333,0.014454917,303,83,6759,2502498640,480,72
rank_sweep,css,5,2009959061,16,4,12,6,6,base,,sat,False,300.0,0.083666042,0.016162875,385,77,8441,2502731601,480,72
rank_sweep,css,6,1496834143,16,4,12,6,6,base,,sat,False,300.0,0.082237917,0.014467291,223,76,4189,2502952491,480,72
rank_sweep,css,7,1046510209,16,4,12,6,6,base,,sat,False,300.0,0.080480500,0.015296875,274,85,7106,2503187732,480,72
rank_sweep,css,8,1105436834,16,4,12,6,6,base,,sat,False,300.0,0.082444083,0.019773917,585,261,20572,2503449783,480,72
rank_sweep,css,9,1749483183,16,4,12,6,6,base,,sat,False,300.0,0.081286709,0.016272791,535,163,9988,2503730762,480,72
rank_sweep,css,0,381277384,16,4,12,10,2,base,,sat,False,300.0,0.084656792,0.076572708,4636,3071,245829,2504275050,480,104
rank_sweep,css,1,1039276809,16,4,12,10,2,base,,sat,False,300.0,0.084695417,0.095275292,4553,3102,331320,2504903042,480,104
rank_sweep,css,2,1968939174,16,4,12,10,2,base,,sat,False,300.0,0.085111750,0.033664500,1962,1061,78888,2505181340,480,104
rank_sweep,css,3,784818287,16,4,12,10,2,base,,sat,False,300.0,0.082582625,0.038174875,1902,1047,90151,2505482468,480,104
rank_sweep,css,4,2056869659,16,4,12,10,2,base,,sat,False,300.0,0.086488250,0.068338584,4122,2673,209841,2505938543,480,104
rank_sweep,css,5,388315737,16,4,12,10,2,base,,sat,False,300.0,0.085087125,0.111667541,5899,3705,375980,2506621207,480,104
rank_sweep,css,6,1713435598,16,4,12,10,2,base,,sat,False,300.0,0.084945916,0.108147000,6261,4017,339651,2507259125,480,104
rank_sweep,css,7,1929282339,16,4,12,10,2,base,,sat,False,300.0,0.085261292,0.077874792,4697,3020,201729,2507747602,480,104
rank_sweep,css,8,45569779,16,4,12,10,2,base,,sat,False,300.0,0.084458042,0.022249917,857,555,39817,2507976128,480,104
rank_sweep,css,9,793748043,16,4,12,10,2,base,,sat,False,300.0,0.099717167,0.023443167,1193,581,37695,2508195011,480,104
rank_sweep,css,0,1771221980,16,4,12,11,1,base,,sat,False,300.0,0.087186125,0.516544334,26218,20708,2017447,2510814931,480,122
rank_sweep,css,1,885305438,16,4,12,11,1,base,,sat,False,300.0,0.089274875,0.299395291,17773,13154,1179187,2512422745,480,122
rank_sweep,css,2,728123796,16,4,12,11,1,base,,sat,False,300.0,0.090198375,3.291990167,119287,103319,13466055,2528341952,480,122
rank_sweep,css,3,776132767,16,4,12,11,1,base,,sat,False,300.0,0.088019291,0.259137250,12165,8455,627987,2529325173,480,122
rank_sweep,css,4,111540929,16,4,12,11,1,base,,sat,False,300.0,0.087876375,5.676802042,175101,134207,16296923,2549885113,480,122
rank_sweep,css,5,2018677027,16,4,12,11,1,base,,sat,False,300.0,0.093080542,0.350094625,20413,14942,1521183,2551902964,480,122
rank_sweep,css,6,1597841729,16,4,12,11,1,base,,sat,False,300.0,0.089688000,1.196143792,48579,38990,4187625,2557094545,480,122
rank_sweep,css,7,74311262,16,4,12,11,1,base,,sat,False,300.0,0.087442709,1.626929459,65707,51495,5686988,2564308746,480,122
rank_sweep,css,8,2089697133,16,4,12,11,1,base,,sat,False,300.0,0.088534167,2.781865500,92170,78307,10303112,2576305784,480,122
rank_sweep,css,9,2101940533,16,4,12,11,1,base,,sat,False,300.0,0.090988625,2.680820667,93429,80343,10850545,2589012857,480,122
rank_sweep,css,0,1464424878,16,4,12,12,0,base,,sat,False,300.0,0.091762792,14.651985875,601035,402285,39621199,2639604756,480,144
rank_sweep,css,1,230185943,16,4,12,12,0,base,,sat,False,300.0,0.093078166,10.365444125,372991,281299,30328421,2675729338,480,144
rank_sweep,css,2,440465667,16,4,12,12,0,base,,sat,False,300.0,0.098012666,36.749500083,1423102,1007098,102382210,2802882524,480,144
rank_sweep,css,3,2127173783,16,4,12,12,0,base,,sat,False,300.0,0.086922083,12.569694959,571197,364008,37614465,2852385759,480,144
rank_sweep,css,4,620465617,16,4,12,12,0,base,,sat,False,300.0,0.090918709,284.817719041,8288439,6107311,738735912,3704500140,480,144
rank_sweep,css,5,1523085600,16,4,12,12,0,base,,sat,False,300.0,0.090746208,26.951177708,1034967,694963,74483897,3797672181,480,144
rank_sweep,css,6,205276163,16,4,12,12,0,base,,unknown,True,300.0,0.090100916,300.018088834,7967404,6134703,803049110,4700431202,360,144
rank_sweep,css,7,1616919165,16,4,12,12,0,base,,sat,False,300.0,0.091002916,21.968841459,797213,527571,62354671,4777159125,480,144
rank_sweep,css,8,435011094,16,4,12,12,0,base,,sat,False,300.0,0.092755584,9.185161750,427539,281435,25483769,4810901019,480,144
rank_sweep,css,9,1610565191,16,4,12,12,0,base,,sat,False,300.0,0.093855042,107.488605416,3344054,2515552,323971097,5190046333,480,144
rank_sweep,general,0,1888752420,18,4,14,,,base,,sat,False,300.0,0.241807000,0.043137500,643,175,22498,5190444372,864,196
rank_sweep,general,1,815827891,18,4,14,,,base,,sat,False,300.0,0.242112750,0.041516125,737,262,32272,5190753730,864,196
rank_sweep,general,2,1224620771,18,4,14,,,base,,sat,False,300.0,0.243069708,0.068431541,1909,979,122518,5191218541,864,196
rank_sweep,general,3,864770272,18,4,14,,,base,,sat,False,300.0,0.246333083,0.043322333,717,192,29953,5191556689,864,196
rank_sweep,general,4,1590714862,18,4,14,,,base,,sat,False,300.0,0.243947125,0.044375375,519,135,17082,5191896331,864,196
rank_sweep,general,5,235835399,18,4,14,,,base,,sat,False,300.0,0.247216583,0.045010000,706,231,28053,5192280673,864,196
rank_sweep,general,6,740451760,18,4,14,,,base,,sat,False,300.0,0.249344000,0.056661708,1511,809,86555,5192675673,864,196
rank_sweep,general,7,1393059904,18,4,14,,,base,,sat,False,300.0,0.253389542,0.246735708,5362,3041,736645,5193948270,864,196
rank_sweep,general,8,220308962,18,4,14,,,base,,sat,False,300.0,0.235059084,0.099882958,3550,1509,223027,5194542753,864,196
rank_sweep,general,9,675707954,18,4,14,,,base,,sat,False,300.0,0.244269208,0.045440000,827,243,23648,5194889083,864,196
rank_sweep,css,0,292387742,18,4,14,0,14,base,,sat,False,300.0,0.130226625,112.238395541,2449701,1979946,250708699,5478215531,612,196
rank_sweep,css,1,1981967122,18,4,14,0,14,base,,unknown,True,300.0,0.132536458,300.012674292,7489848,5876903,780002808,6346812142,528,196
rank_sweep,css,2,1049108972,18,4,14,0,14,base,,unknown,True,300.0,0.130371042,300.016733541,7652371,6234665,808405845,7253390531,472,196
rank_sweep,css,3,1306658309,18,4,14,0,14,base,,unknown,True,300.0,0.131681292,300.014526542,7029048,6039792,847230617,8170680858,486,196
rank_sweep,css,4,1623405161,18,4,14,0,14,base,,unknown,True,300.0,0.130619667,300.016378584,6704174,5576915,848959148,9097175597,514,196
rank_sweep,css,5,19250980,18,4,14,0,14,base,,sat,False,300.0,0.134439541,299.124554500,7071944,5670758,832701667,10009823945,612,196
rank_sweep,css,6,542304518,18,4,14,0,14,base,,unknown,True,300.0,0.129696958,300.009750042,7224673,5862702,718436926,10815172418,472,196
rank_sweep,css,7,172345326,18,4,14,0,14,base,,unknown,True,300.0,0.128548209,300.019593667,8194976,6142170,702893777,11636503575,458,196
rank_sweep,css,8,605564442,18,4,14,0,14,base,,unknown,True,300.0,0.130972709,300.006628625,6957833,5730133,779973685,12494346360,514,196
rank_sweep,css,9,1549288112,18,4,14,0,14,base,,unknown,True,300.0,0.148158416,300.022306542,5706067,4890979,818930844,13379506609,486,196
rank_sweep,css,0,2040190479,18,4,14,1,13,base,,sat,False,300.0,0.131277750,68.965794834,1943682,1633694,250872868,13657794338,612,170
rank_sweep,css,1,1373332675,18,4,14,1,13,base,,sat,False,300.0,0.127083542,26.982305333,842940,702749,95111530,13764393369,612,170
rank_sweep,css,2,1120632831,18,4,14,1,13,base,,sat,False,300.0,0.125883375,23.231425000,674752,565141,83849553,13857255001,612,170
rank_sweep,css,3,385618756,18,4,14,1,13,base,,sat,False,300.0,0.130679167,45.358063583,1267336,1094538,178792567,14052532610,612,170
rank_sweep,css,4,1452812752,18,4,14,1,13,base,,sat,False,300.0,0.123278667,3.736056583,144833,119347,13507302,14068197494,612,170
rank_sweep,css,5,619855401,18,4,14,1,13,base,,sat,False,300.0,0.128299708,177.116848250,2526378,2236367,409462321,14533960944,612,170
rank_sweep,css,6,428087575,18,4,14,1,13,base,,sat,False,300.0,0.126944709,97.797631709,2509439,2178071,349903919,14922427789,612,170
