experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,source,target,witness_target,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
permutation_survival,A,2,542457538,16,2,14,7,7,invalid_mapping,2,13,6,4,unsat,False,300.0,0.247746417,0.069544292,2435,1152,134405,9239599,737,196
permutation_survival,B1,2,542457538,16,2,14,7,7,base,,,,,sat,False,300.0,0.245009791,0.136033792,4138,2195,353475,9964138,736,196
permutation_survival,B1,2,542457538,16,2,14,7,7,invalid_mapping,0,12,7,10,unsat,False,300.0,0.244639250,0.031606417,174,53,2823,10195748,737,196
permutation_survival,B1,2,542457538,16,2,14,7,7,invalid_mapping,1,7,10,15,unsat,False,300.0,0.244789375,0.086342667,2106,1207,176537,10678355,737,196
permutation_survival,B1,2,542457538,16,2,14,7,7,invalid_mapping,2,13,6,4,unsat,False,300.0,0.244888042,0.080075000,2552,1143,161856,11146039,737,196
permutation_survival,B2,2,542457538,16,2,14,7,7,base,,,,,sat,False,300.0,0.219605166,0.012924458,0,0,0,11293233,736,98
permutation_survival,B2,2,542457538,16,2,14,7,7,invalid_mapping,0,12,7,10,unsat,False,300.0,0.219856833,0.002722375,0,0,0,11315957,737,98
permutation_survival,B2,2,542457538,16,2,14,7,7,invalid_mapping,1,7,10,15,unsat,False,300.0,0.220604375,0.002869541,0,0,0,11339143,737,98
permutation_survival,B2,2,542457538,16,2,14,7,7,invalid_mapping,2,13,6,4,unsat,False,300.0,0.220648584,0.002720792,0,0,0,11361745,737,98
permutation_survival,C,2,542457538,16,2,14,7,7,base,,,,,sat,False,300.0,0.117365375,0.025302833,1267,389,36601,11533574,512,98
permutation_survival,C,2,542457538,16,2,14,7,7,invalid_mapping,0,12,7,10,unsat,False,300.0,0.117230458,0.022622708,771,320,17936,11683059,513,98
permutation_survival,C,2,542457538,16,2,14,7,7,invalid_mapping,1,7,10,15,unsat,False,300.0,0.115994541,0.018325709,381,137,5478,11810069,513,98
permutation_survival,C,2,542457538,16,2,14,7,7,invalid_mapping,2,13,6,4,unsat,False,300.0,0.117318333,0.006346208,0,0,0,11877974,513,98
permutation_survival,A,3,2035207981,16,2,14,7,7,base,,,,,sat,False,300.0,0.287814167,0.072456917,2312,1096,157814,12335084,736,196
permutation_survival,A,3,2035207981,16,2,14,7,7,invalid_mapping,0,5,2,13,unsat,False,300.0,0.256413500,0.045437375,597,284,43703,12648325,737,196
permutation_survival,A,3,2035207981,16,2,14,7,7,invalid_mapping,1,4,0,3,unsat,False,300.0,0.256794333,0.013298917,0,0,0,12797175,737,196
permutation_survival,A,3,2035207981,16,2,14,7,7,invalid_mapping,2,14,5,10,unsat,False,300.0,0.256541292,0.038846417,556,179,19259,13078071,737,196
permutation_survival,B1,3,2035207981,16,2,14,7,7,base,,,,,sat,False,300.0,0.244376125,0.039308167,868,338,38891,13359225,736,196
permutation_survival,B1,3,2035207981,16,2,14,7,7,invalid_mapping,0,5,2,13,unsat,False,300.0,0.247198208,0.029693458,83,21,1465,13590690,737,196
permutation_survival,B1,3,2035207981,16,2,14,7,7,invalid_mapping,1,4,0,3,unsat,False,300.0,0.247367458,0.011763584,0,0,0,13731369,737,196
permutation_survival,B1,3,2035207981,16,2,14,7,7,invalid_mapping,2,14,5,10,unsat,False,300.0,0.247522584,0.031333084,94,20,1308,13961859,737,196
permutation_survival,B2,3,2035207981,16,2,14,7,7,base,,,,,sat,False,300.0,0.222459208,0.011825959,0,0,0,14089121,736,98
permutation_survival,B2,3,2035207981,16,2,14,7,7,invalid_mapping,0,5,2,13,unsat,False,300.0,0.221636334,0.002945000,0,0,0,14112437,737,98
permutation_survival,B2,3,2035207981,16,2,14,7,7,invalid_mapping,1,4,0,3,unsat,False,300.0,0.222815250,0.004325209,0,0,0,14142035,737,98
permutation_survival,B2,3,2035207981,16,2,14,7,7,invalid_mapping,2,14,5,10,unsat,False,300.0,0.221857416,0.002794333,0,0,0,14164389,737,98
permutation_survival,C,3,2035207981,16,2,14,7,7,base,,,,,sat,False,300.0,0.123168875,0.041847583,2753,1058,81876,14417207,512,98
permutation_survival,C,3,2035207981,16,2,14,7,7,invalid_mapping,0,5,2,13,unsat,False,300.0,0.122848708,0.022714458,883,290,21034,14574816,513,98
permutation_survival,C,3,2035207981,16,2,14,7,7,invalid_mapping,1,4,0,3,unsat,False,300.0,0.121897833,0.022120333,677,291,17354,14725584,513,98
permutation_survival,C,3,2035207981,16,2,14,7,7,invalid_mapping,2,14,5,10,unsat,False,300.0,0.121584041,0.022756709,785,398,23652,14881702,513,98
permutation_survival,A,4,2144028437,16,2,14,7,7,base,,,,,sat,False,300.0,0.246269792,0.032292125,619,143,16948,15127806,736,196
permutation_survival,A,4,2144028437,16,2,14,7,7,invalid_mapping,0,0,6,1,unsat,False,300.0,0.249526500,0.006351375,0,0,0,15172576,737,196
permutation_survival,A,4,2144028437,16,2,14,7,7,invalid_mapping,1,8,4,0,unsat,False,300.0,0.249382709,0.006098625,0,0,0,15217242,737,196
permutation_survival,A,4,2144028437,16,2,14,7,7,invalid_mapping,2,15,13,8,unsat,False,300.0,0.250465834,0.006311584,0,0,0,15261890,737,196
permutation_survival,B1,4,2144028437,16,2,14,7,7,base,,,,,sat,False,300.0,0.254172375,0.030979833,266,62,7791,15495931,736,196
permutation_survival,B1,4,2144028437,16,2,14,7,7,invalid_mapping,0,0,6,1,unsat,False,300.0,0.253219875,0.006283584,0,0,0,15541367,737,196
permutation_survival,B1,4,2144028437,16,2,14,7,7,invalid_mapping,1,8,4,0,unsat,False,300.0,0.251334375,0.006673375,0,0,0,15586739,737,196
permutation_survival,B1,4,2144028437,16,2,14,7,7,invalid_mapping,2,15,13,8,unsat,False,300.0,0.273948542,0.006367125,0,0,0,15632245,737,196
permutation_survival,B2,4,2144028437,16,2,14,7,7,base,,,,,sat,False,300.0,0.228683416,0.011435959,3,1,34,15758627,736,98
