problem,invariant,instance_id,seed,n,k,r,positive,accepted,runtime_seconds,status,timeout,memory_limited,error
pm_stb,linear_dependency,pm_stb-n3k2-s433-positive,433,3,2,1,True,True,0.0004644059808924794,success,False,False,
pm_stb,signatures,pm_stb-n3k2-s433-positive,433,3,2,1,True,True,0.0009675619658082724,success,False,False,
pm_stb,linear_dependency,pm_stb-n3k2-s89-negative,89,3,2,1,False,True,0.0005929969483986497,success,False,False,
pm_stb,signatures,pm_stb-n3k2-s89-negative,89,3,2,1,False,True,0.001023941906169057,success,False,False,
pm_stb,linear_dependency,pm_stb-n3k2-s773-negative,773,3,2,1,False,True,0.0006266270065680146,success,False,False,
pm_stb,signatures,pm_stb-n3k2-s773-negative,773,3,2,1,False,True,0.0009569809772074223,success,False,False,
pm_stb,linear_dependency,pm_stb-n3k2-s654-negative,654,3,2,1,False,True,0.0005626960191875696,success,False,False,
pm_stb,signatures,pm_stb-n3k2-s654-negative,654,3,2,1,False,True,0.0011098830727860332,success,False,False,
pm_stb,linear_dependency,pm_stb-n3k2-s438-negative,438,3,2,1,False,True,0.0005520159611478448,success,False,False,
pm_stb,signatures,pm_stb-n3k2-s438-negative,438,3,2,1,False,True,0.0009638710180297494,success,False,False,
pm_stb,linear_dependency,pm_stb-n3k2-s433-negative,433,3,2,1,False,False,0.0005912169581279159,success,False,False,
pm_stb,signatures,pm_stb-n3k2-s433-negative,433,3,2,1,False,False,0.0010569130536168814,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s89-positive,89,4,0,4,True,True,0.0014865570701658726,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s89-positive,89,4,0,4,True,True,0.0017048899317160249,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s773-positive,773,4,0,4,True,True,0.001761601073667407,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s773-positive,773,4,0,4,True,True,0.0016390490345656872,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s654-positive,654,4,0,4,True,True,0.0019559229258447886,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s654-positive,654,4,0,4,True,True,0.0017442909302189946,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s438-positive,438,4,0,4,True,True,0.0017272209515795112,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s438-positive,438,4,0,4,True,True,0.0015603979118168354,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s433-positive,433,4,0,4,True,True,0.001564198057167232,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s433-positive,433,4,0,4,True,True,0.0015767080476507545,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s89-negative,89,4,0,4,False,True,0.001906601944938302,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s89-negative,89,4,0,4,False,True,0.0015451180515810847,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s773-negative,773,4,0,4,False,True,0.0019408930093050003,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s773-negative,773,4,0,4,False,True,0.0015465090982615948,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s654-negative,654,4,0,4,False,True,0.00205413403455168,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s654-negative,654,4,0,4,False,True,0.0016499690245836973,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s438-negative,438,4,0,4,False,True,0.0017224500188603997,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s438-negative,438,4,0,4,False,True,0.0015791290206834674,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k0-s433-negative,433,4,0,4,False,True,0.0020976640516892076,success,False,False,
pm_stb,signatures,pm_stb-n4k0-s433-negative,433,4,0,4,False,True,0.0015512679237872362,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s89-positive,89,4,1,3,True,True,0.0017629710491746664,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s89-positive,89,4,1,3,True,True,0.0013399859890341759,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s773-positive,773,4,1,3,True,True,0.0012592849088832736,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s773-positive,773,4,1,3,True,True,0.0014600870199501514,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s654-positive,654,4,1,3,True,True,0.0013933660229668021,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s654-positive,654,4,1,3,True,True,0.0013522759545594454,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s438-positive,438,4,1,3,True,True,0.0014615770196542144,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s438-positive,438,4,1,3,True,True,0.0014384470414370298,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s433-positive,433,4,1,3,True,True,0.0014168559573590755,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s433-positive,433,4,1,3,True,True,0.0013944660313427448,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s89-negative,89,4,1,3,False,True,0.0014876469504088163,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s89-negative,89,4,1,3,False,True,0.0014619679423049092,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s773-negative,773,4,1,3,False,True,0.0014992880169302225,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s773-negative,773,4,1,3,False,True,0.0014806969556957483,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s654-negative,654,4,1,3,False,False,0.0014022169634699821,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s654-negative,654,4,1,3,False,False,0.00209914508741349,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s438-negative,438,4,1,3,False,True,0.0012915750266984105,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s438-negative,438,4,1,3,False,True,0.001406696974299848,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k1-s433-negative,433,4,1,3,False,True,0.0014014259213581681,success,False,False,
pm_stb,signatures,pm_stb-n4k1-s433-negative,433,4,1,3,False,True,0.0014082459965720773,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s89-positive,89,4,2,2,True,True,0.0009805019944906235,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s89-positive,89,4,2,2,True,True,0.001369295991025865,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s773-positive,773,4,2,2,True,True,0.0013521560467779636,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s773-positive,773,4,2,2,True,True,0.0017063709674403071,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s654-positive,654,4,2,2,True,True,0.0009718120563775301,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s654-positive,654,4,2,2,True,True,0.0012804350117221475,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s438-positive,438,4,2,2,True,True,0.0010307820048183203,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s438-positive,438,4,2,2,True,True,0.0012373949866741896,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s433-positive,433,4,2,2,True,True,0.0009234410244971514,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s433-positive,433,4,2,2,True,True,0.0011806440306827426,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s89-negative,89,4,2,2,False,True,0.000880710082128644,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s89-negative,89,4,2,2,False,True,0.0011989639606326818,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s773-negative,773,4,2,2,False,True,0.001734939985908568,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s773-negative,773,4,2,2,False,True,0.0012950359378010035,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s654-negative,654,4,2,2,False,True,0.001355385989882052,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s654-negative,654,4,2,2,False,True,0.001225464977324009,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s438-negative,438,4,2,2,False,True,0.0013416159199550748,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s438-negative,438,4,2,2,False,True,0.0012771149631589651,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k2-s433-negative,433,4,2,2,False,True,0.0011811340227723122,success,False,False,
pm_stb,signatures,pm_stb-n4k2-s433-negative,433,4,2,2,False,True,0.0012877050321549177,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s89-positive,89,4,3,1,True,True,0.0007866399828344584,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s89-positive,89,4,3,1,True,True,0.0010761419543996453,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s773-positive,773,4,3,1,True,True,0.0006503569893538952,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s773-positive,773,4,3,1,True,True,0.001079302979633212,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s654-positive,654,4,3,1,True,True,0.0010519929928705096,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s654-positive,654,4,3,1,True,True,0.0011361230863258243,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s438-positive,438,4,3,1,True,True,0.0007142979884520173,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s438-positive,438,4,3,1,True,True,0.0016622089315205812,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s433-positive,433,4,3,1,True,True,0.0008103690342977643,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s433-positive,433,4,3,1,True,True,0.0010395230492576957,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s89-negative,89,4,3,1,False,True,0.000808949931524694,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s89-negative,89,4,3,1,False,True,0.001070252968929708,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s773-negative,773,4,3,1,False,True,0.00080734898801893,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s773-negative,773,4,3,1,False,True,0.0014999080449342728,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s654-negative,654,4,3,1,False,True,0.0009922919562086463,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s654-negative,654,4,3,1,False,True,0.0010752120288088918,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s438-negative,438,4,3,1,False,False,0.000776269007474184,success,False,False,
